event,extra,pnl,price,r_multiple,reason,side,sl,symbol,ticket,tp,ts,volume
equity_snapshot,"{""balance"": 680.07, ""equity"": 681.62}",,,,snapshot,,,,,,1760375282,
trade_exec,"{""position"": null, ""balance"": 680.07, ""equity"": 681.31, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Bearish multi-timeframe alignment (H4→H1→M30). Price currently overstretched (-3.1σ) and likely to pull back before continuation. Sell from reversion zone 0.8685–0.8695 targeti""}",,0.869,,market,SELL,0.8705,EURGBPc,122724846,0.862,1760375579,0.01
equity_snapshot,"{""balance"": 680.07, ""equity"": 681.31}",,,,snapshot,,,,,,1760375579,
trade_exec,"{""position"": null, ""balance"": 680.07, ""equity"": 681.58, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Strong bullish multi-timeframe alignment (H4→M5, score 93/100). Quality momentum and expanding volatility confirm continuation phase. Slight mean reversion expected before next ""}",,4100.0,,market,BUY,4098.0,XAUUSDc,122725319,4140.0,1760375669,0.01
equity_snapshot,"{""balance"": 680.07, ""equity"": 681.58}",,,,snapshot,,,,,,1760375669,
trade_exec,"{""position"": null, ""balance"": 680.07, ""equity"": 681.47, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Executing immediate market buy based on strong bullish multi-timeframe alignment (H4→M5). Momentum strong with ADX 46 and expanding volatility. V8 exits enabled for breakeven, part""}",,4104.6,,market,BUY,4098.0,XAUUSDc,122725881,4140.0,1760375707,0.01
equity_snapshot,"{""balance"": 680.07, ""equity"": 681.47}",,,,snapshot,,,,,,1760375707,
trade_exec,"{""position"": null, ""balance"": 680.07, ""equity"": 680.24, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Adjusted entry for current price 114,616. BTCUSD macro bearish with mean reversion bias and FVG zone overhead. Entry at 114,800 aligns with liquidity and volatility expansion s""}",,114800.0,,market,SELL,115300.0,BTCUSDc,122727773,113200.0,1760375950,0.01
equity_snapshot,"{""balance"": 680.07, ""equity"": 680.24}",,,,snapshot,,,,,,1760375950,
trade_exec,"{""position"": null, ""balance"": 671.91, ""equity"": 673.38, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Bearish structure intact on H4 and H1; liquidity sweep expected near 0.5790 with Fair Value Gap fill at 0.576–0.578 before continuation lower. Ideal institutional entry zone fo""}",,0.577,,market,SELL,0.5805,NZDUSDc,122790020,0.568,1760382533,0.01
equity_snapshot,"{""balance"": 671.91, ""equity"": 673.38}",,,,snapshot,,,,,,1760382533,
trade_exec,"{""position"": null, ""balance"": 671.91, ""equity"": 673.45, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): BTCUSD in consolidation with liquidity below 114k; expecting liquidity sweep and bullish BOS from institutional absorption. Entry at 114.3k aligns with OB + VWAP mean zone; targ""}",,114300.0,,market,BUY,113700.0,BTCUSDc,122793312,117200.0,1760382763,0.01
equity_snapshot,"{""balance"": 671.91, ""equity"": 673.45}",,,,snapshot,,,,,,1760382763,
trade_exec,"{""position"": null, ""balance"": 671.91, ""equity"": 673.67, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Bullish structure intact across H4-H1; expecting liquidity sweep above 4105 and retracement into 4080 order block before continuation higher toward 4108 liquidity zone. Entry al""}",,4080.0,,market,BUY,4068.0,XAUUSDc,122798238,4108.0,1760383180,0.01
equity_snapshot,"{""balance"": 671.91, ""equity"": 673.67}",,,,snapshot,,,,,,1760383180,
trade_exec,"{""position"": null, ""balance"": 673.63, ""equity"": 673.63, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Retrying USDJPY Buy Limit 151.50/151.10/152.90 placement after risk engine bug.""}",,151.5,,market,BUY,151.1,USDJPYc,122817569,152.9,1760385215,0.03
equity_snapshot,"{""balance"": 673.63, ""equity"": 673.63}",,,,snapshot,,,,,,1760385215,
trade_exec,"{""position"": null, ""balance"": 673.63, ""equity"": 673.63, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Bullish Order Block entry on XAGUSD. Macro (DXY↓, US10Y↓) aligns with institutional buy bias. Structure BOS Bull confirmed, no CHOCH present. Targeting liquidity pool above 52.6""}",,51.6,,market,BUY,51.3,XAGUSDc,122822003,52.65,1760385527,0.01
equity_snapshot,"{""balance"": 673.63, ""equity"": 673.63}",,,,snapshot,,,,,,1760385527,
trade_exec,"{""position"": null, ""balance"": 667.63, ""equity"": 666.81, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Institutional buy limit based on bullish structure, confirmed BOS, and confluence with FVG + OB zone at 4140. DXY and US10Y falling confirming macro bullish bias. Target liquidi""}",,4140.0,,market,BUY,4118.0,XAUUSDc,123095494,4188.0,1760420374,0.01
equity_snapshot,"{""balance"": 667.63, ""equity"": 666.81}",,,,snapshot,,,,,,1760420374,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 672.59, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Bullish structure intact with H4 BOS confirmation and H1 pullback ending at institutional OB zone 4080. DXY and US10Y declining, macro bias bullish. Targeting PDH liquidity 4123""}",,4080.0,,market,BUY,4065.0,XAUUSDc,123168738,4123.0,1760423772,0.01
equity_snapshot,"{""balance"": 671.97, ""equity"": 672.59}",,,,snapshot,,,,,,1760423772,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 672.16, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Mean reversion buy setup within Asian session range. Price at Bullish Order Block 151.6-151.8 zone, near equal lows. DXY bearish. Expect bounce toward 152.6 liquidity pool (PDH)""}",,151.7,,market,BUY,151.45,USDJPYc,123184146,152.6,1760424624,0.04
equity_snapshot,"{""balance"": 671.97, ""equity"": 672.16}",,,,snapshot,,,,,,1760424624,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 672.08, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Adjusted mean reversion buy setup within Asian session range. Live mid-price 0.64664; entry adjusted to 0.6466 within valid order block (0.6465–0.6472). Targeting 0.6504 Bear OB""}",,0.6466,,market,BUY,0.6454,AUDUSDc,123186360,0.6504,1760424748,0.01
equity_snapshot,"{""balance"": 671.97, ""equity"": 672.08}",,,,snapshot,,,,,,1760424748,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 671.96, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Mean reversion buy setup after -14σ stretch from EMA200. Bullish order block 86.40–86.55 with equal lows at 86.35. Targeting 87.20 Bear FVG zone for intraday reversal during Asi""}",,86.45,,market,BUY,86.25,NZDJPYc,123187917,87.2,1760424824,0.01
equity_snapshot,"{""balance"": 671.97, ""equity"": 671.96}",,,,snapshot,,,,,,1760424824,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 672.28, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Mean reversion buy setup at Bullish Order Block 98.05–98.25 with equal lows. DXY bearish supports JPY softness. Target 98.70 Bear FVG for intraday bounce.""}",,98.15,,market,BUY,97.95,AUDJPYc,123188845,98.7,1760424895,0.01
equity_snapshot,"{""balance"": 671.97, ""equity"": 672.28}",,,,snapshot,,,,,,1760424895,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 671.82, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): London breakout setup — liquidity sweep below 1.0615 followed by expected reversal. Bullish OB at 1.0615–1.0625, target FVG at 1.0668.""}",,1.062,,market,BUY,1.0605,EURUSDc,123193071,1.0668,1760425227,0.04
equity_snapshot,"{""balance"": 671.97, ""equity"": 671.82}",,,,snapshot,,,,,,1760425227,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 670.92, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): London continuation short setup. Price rebased around 1.3276; bearish OB 1.3290–1.3300 aligned with Bear FVG and DXY firming. Target 1.3245 liquidity sweep zone.""}",,1.329,,market,SELL,1.331,GBPUSDc,123195715,1.3245,1760425408,0.04
equity_snapshot,"{""balance"": 671.97, ""equity"": 670.92}",,,,snapshot,,,,,,1760425408,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 670.45, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): London continuation buy setup within strong H4 bullish structure. Pullback into 4038–4044 Bullish Order Block expected before continuation to PDH 4078 liquidity pool. DXY, US10Y""}",,4042.0,,market,BUY,4030.0,XAUUSDc,123196341,4078.0,1760425464,0.01
equity_snapshot,"{""balance"": 671.97, ""equity"": 670.45}",,,,snapshot,,,,,,1760425464,
trade_exec,"{""position"": null, ""balance"": 671.97, ""equity"": 670.17, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): London retrace continuation short setup. BTCUSD bearish across all TFs; price stretched -7.8σ below VWAP. Bearish OB 112,750–113,000 acts as sell zone. Target 111,000 liquidity""}",,112900.0,,market,SELL,113400.0,BTCUSDc,123197316,111000.0,1760425544,0.01
equity_snapshot,"{""balance"": 671.97, ""equity"": 670.17}",,,,snapshot,,,,,,1760425544,
trade_exec,"{""position"": null, ""balance"": 675.91, ""equity"": 678.96, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Multi-timeframe bearish continuation confirmed (BOS bear on H4–M5). Macro support from rising DXY and US10Y. VIX > 20 confirms risk-off sentiment.""}",,1.3263,,market,SELL,1.3274,GBPUSDc,123356856,1.324,1760437309,0.04
equity_snapshot,"{""balance"": 675.91, ""equity"": 678.96}",,,,snapshot,,,,,,1760437309,
trade_exec,"{""position"": null, ""balance"": 675.91, ""equity"": 678.67, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Bearish multi-timeframe structure (BOS bear confirmed). DXY rising and US10Y above 4% reinforce USD strength. VIX > 20 confirms risk-off sentiment.""}",,1.1554,,market,SELL,1.1564,EURUSDc,123356890,1.1528,1760437313,0.04
equity_snapshot,"{""balance"": 675.91, ""equity"": 678.67}",,,,snapshot,,,,,,1760437313,
trade_exec,"{""position"": null, ""balance"": 675.67, ""equity"": 679.63, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Re-executing bearish GBPUSD trade after auto-close. Multi-timeframe BOS bear confirmed with DXY strength, US10Y > 4%, and VIX > 20 risk-off environment.""}",,1.3263,,market,SELL,1.3274,GBPUSDc,123358964,1.324,1760437400,0.04
equity_snapshot,"{""balance"": 675.67, ""equity"": 679.63}",,,,snapshot,,,,,,1760437400,
trade_exec,"{""position"": null, ""balance"": 675.67, ""equity"": 679.38, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Re-executing EURUSD short after auto-close. Structure remains bearish with DXY strength, yields firm, and risk-off sentiment prevailing.""}",,1.1554,,market,SELL,1.1564,EURUSDc,123359104,1.1528,1760437409,0.04
equity_snapshot,"{""balance"": 675.67, ""equity"": 679.38}",,,,snapshot,,,,,,1760437409,
trade_exec,"{""position"": null, ""balance"": 674.95, ""equity"": 677.52, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (market): Re-executing EURUSD short. Multi-timeframe bearish structure confirmed. DXY rising, US10Y above 4%, VIX above 20 confirms risk-off tone supporting USD strength.""}",,1.1554,,market,SELL,1.1564,EURUSDc,123360339,1.1528,1760437485,0.04
equity_snapshot,"{""balance"": 674.95, ""equity"": 677.52}",,,,snapshot,,,,,,1760437485,
trade_exec,"{""position"": null, ""balance"": 677.53, ""equity"": 675.93, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): Bullish BOS confirmed, price overextended above VWAP. Ideal re-entry at M15 bullish order block 4128–4132 targeting liquidity 4155.""}",,4130.0,,market,BUY,4120.0,XAUUSDc,123641103,4155.0,1760455008,0.01
equity_snapshot,"{""balance"": 677.53, ""equity"": 675.93}",,,,snapshot,,,,,,1760455008,
trade_exec,"{""position"": null, ""balance"": 677.53, ""equity"": 677.05, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Institutional retrace hedge. BOS confirmed bullish, price overextended 2.5x ATR. Shorting expected mean reversion into M15 bullish order block (4128–4132) before continuation.""}",,4140.0,,market,SELL,4146.0,XAUUSDc,123645003,4130.0,1760455431,0.01
equity_snapshot,"{""balance"": 677.53, ""equity"": 677.05}",,,,snapshot,,,,,,1760455431,
trade_exec,"{""position"": null, ""balance"": 679.63, ""equity"": 677.47, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (buy_limit): BOS Bull confirmed on M15 above 1.1625, indicating bullish continuation. Institutional demand zone (bullish order block) identified at 1.1600–1.1610. Ideal entry for retest. SL ""}",,1.161,,market,BUY,1.158,EURUSDc,123702117,1.165,1760460334,0.03
equity_snapshot,"{""balance"": 679.63, ""equity"": 677.47}",,,,snapshot,,,,,,1760460334,
trade_exec,"{""position"": null, ""balance"": 679.63, ""equity"": 684.49, ""confidence"": null, ""regime"": null, ""rr"": null, ""notes"": ""API Trade (sell_limit): Adjusted sell limit aligned with current BTCUSD feed (112,802 mid). CHOCH Bear confirmed on M15 at 112,697 after BOS Bull at 112,000. Institutional distribution zone identified""}",,112900.0,,market,SELL,113200.0,BTCUSDc,123705320,111000.0,1760460521,0.02
equity_snapshot,"{""balance"": 679.63, ""equity"": 684.49}",,,,snapshot,,,,,,1760460521,
